Title,ReplyIndex,CrawlingTime,Content,Like,Hate
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,15,2020.9.16 0:34,머여 -.-;;; 그런 걸로 해임은 좀... 정규직 반발 크니까 꼬리 자르려고 별 걸 다 갖다붙이네... 그렇게 치면 안 짤릴 국회의원 없을듯...? 윤미향 사태나 좀 마무리하세요;;; 몇 억을 꿀꺽 했다면서요,10,1
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,16,2020.9.16 0:34,야 이건좀...세월호때 지들편델고 다니며 밥 그렇게 처먹고다닌놈도 애들아 고맙다하나적고 대통령됐는데 너무한거아니냐,9,1
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,17,2020.9.16 0:34,삶은소대가리한테 잘못 보였군~,8,0
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,18,2020.9.16 0:34,무리한 정규직 밀어붙이다 여론 안좋아지니 인국공 사장 희생량 삼아 넘어가려고? 구렁이 같은 문정부. 명바기나 그네나 재앙이나 다 똑같다. 어휴,8,2
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,19,2020.9.16 0:34,비오는 날 고기도 못 먹냐 ? 재인이는 뭐 먹었는지 ? 미애는 뭐 먹었는지 ? 같이 좀 까봐라 ...,6,1
태풍 때 고깃집서 '법카'…인천공항 사장 해임 건의안[앵커] 국토교통부가 구본환 인천공항 사장을 해임해달라고 공공기관 운영위원회에 건의했습니다. 저희가 입수한 해임 건의안…,20,2020.9.16 0:34,태풍때 책임을 다해야 했던 ㅋㅋㅋ 그럼 문재인은? 코로나 첫 사망자 나올때 뭐했는데 홍수나고 부산에 사람죽을때 민주당 웃으며 사진찍은 걸로 욕 먹지 않았나? 아무도 처벌 안 받은걸로 아는데 ㅋㅋ,5,0
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",1,2020.9.16 0:34,1~10위 대부분 북유럽이고 특징이 땅덩이에 비해 인구수가 상당히 적으면서 지하자원도 풍부. 오히려 정 반대의 입장을 가진 한국이 이만한 생활수준 누리고 산다는게 더 신기하지 않나?살기 좋은 것과 별개로 한국은 갑자기 잘 살게 되서 그런지 특유의 비교문화때문에 스스로가 삶을 갉아먹는 듯.,3192,81
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",2,2020.9.16 0:34,"치안과 의료보험, 인터넷 등은 정말 우리나라 따라올 곳이 없을 거라고 생각합니다. 관련된 모든 분들께 감사합니다. 하루빨리 예전의 모습, 아니 더 나아진 모습으로 돌아가서 행복한 이들이 더 많아졌으면 좋겠어요.",2150,67
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",3,2020.9.16 0:34,"해외 나갔다 와본 사람들은 알텐데;; 솔직히 한국이 진짜 그냥 살기에는 좋은 나라인건 맞음인터넷빨라, 공공교통인프라 좋아 ,배달문화야 ,24시간으로 운영하는 음식점에,대형마트는 어디에나 있고.. 살기에는 좋지만 각각 개인의 삶이 힘들어서 문제지..뭐..",1728,74
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",4,2020.9.16 0:34,솔직히 우리나라 까는 댓글 많아도 외국 여기 저기 가서 일해보니 그래도 한국만큼 살기 좋은 나라 없더라. ㅋㅋ,1166,88
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",5,2020.9.16 0:34,살기좋은 나라중 하나여도 행복도는 하위권에다 자살율은 1~2위를 다투고 출산율은 꼴지. 추 아들처럼 돈 많고 빽있으면 백번이라도 살고 싶은나라,1561,672
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",6,2020.9.16 0:34,문재인만 없어지면 더 살기좋을텐데..,446,185
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",7,2020.9.16 0:34,정치하는 인간들만 정신차리면 더잘살껀데 쩝,157,3
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",8,2020.9.16 0:34,대깨문 “일본이 우리보다 높다니 가짜뉴스다. 그리고 우리 중화가 100위라고? 기레기 토착왜구기사다!”,288,168
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",9,2020.9.16 0:34,근데 왜.이렇게 우리나라보다 하위권인 미국으로 이민간 수가 역대 최고지?? ㅋㅋㅋ 조사 기준이 뭐냐?,128,26
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",10,2020.9.16 0:34,"살기는 좋은데 그 좋은 인프라를 형성하기 위해서 팍팍하고 경쟁이 치열하다 보니 사람들이 정신적, 신체적 여유를 챙길 시간이 부족한게 흠이지...전부 인력 인프라로 거둔 성과가 대부분이니 유럽처럼 근무시간이 짧은 것도 아니고 석유가 땅파서 나오지도 않고 천연자원이 없다 보니....치열함의 경쟁을 삶의 일상으로 다루어 가며 살아야 하는게 숙명이라면 숙명...그래서 더 값지고 뿌듯함도 있지만 감정이 빡빡해져서 행복지수가 높진 않아.",92,1
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",11,2020.9.16 0:34,한국은 돈 있으면 살기 좋은 나라 1위지,82,13
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",12,2020.9.16 0:34,안전하고 깨끗하고 기본 의식주 수준은 높으니 뭐... 하지만 삶의 유지비용 너무 비싸고 미래가 불투명하며 사람들 얼굴은 대부분 무표정에 화난표정.,62,4
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",13,2020.9.16 0:34,정치인만 깨끗하고 공정하고 교만하지 않으면 좀더 살기 좋은 나라 될텐데.,56,4
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",14,2020.9.16 0:34,살기는 좋지만 살아가기는 힘든나라..,54,2
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",15,2020.9.16 0:34,문재인뿐만 아니라 그 패거리들도 없어진다면 바로 5위까진 올라간다.,78,28
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",16,2020.9.16 0:34,내가 생각해도 한국은 돈만있으면 천국이다..뭐든 안되는게없고 놀꺼 먹을꺼 천지임..전세계 단연코 살기좋는나라 1위라고 말하고싶음...거기에 권력까지있다면 그냥 게임오버 ㅋㅋㅋ...근데 단점은역시 돈없고 힘없고 빽없으면 세계1위에서 세계100위가 되는나라가 한국..돈없고 힘없어도 살기좋은나라들이 저기 상위랭크되어있는 나라들..,48,3
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",17,2020.9.16 0:34,살기좋은나라 17위인데 왜 자살률은 1~2위 다투고 출산율은 전세계 꼴지임?ㅋㅋ,48,3
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",18,2020.9.16 0:34,박정희 없었으면 ㄹㅇ베트남 수준이었을꺼다,35,6
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",19,2020.9.16 0:34,한국은 돈만 있으며 최고로 샬기 좋으나라 세계1위입니다해외 나가 보세요한국 처럼 편하게 살수있는 나라가 어디에 있음치안도 잘되어 있지의료시스템 잘되어 있지샤워도 내 맘대로 할수있지먹고 싶은거 다먹을수 있지언제든 가고 싶은곳 다갈수 있지클릭 한번에 모든게 퀵배송 되지이렇게 살기 좋은 나라는 전세계에서 오직 대한민국 뿐입니다,29,1
"한국은 '살기 좋은 나라' 17위, 日 13위···3년 연속 1위…",20,2020.9.16 0:34,해외 아무데나 가서 딱 일년만 살다 와보세요 한국이 어떤 나라인지 잘 이해되실테니 무턱되고 까지 않았으면 좋겠습니다.,25,1
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",1,2020.9.16 0:34,맘에 드는 통계만 보네 이분도,1808,45
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",2,2020.9.16 0:34,자기 주장과 다르면 전문가 말을 개무시하는 태도를 보니 확실히 민주당 맞네 ~ 아예 화내고 윽박지르기까지하는 걸 보면 딱 난폭한 문재인,1386,47
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",3,2020.9.16 0:34,이재명 정책은 하나같이 돈만 쓰는 선심성 정책. 경제효과는 1도 없는데 혼자 우기는 게 누구 일자리정책이랑 똑같다.,594,32
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",4,2020.9.16 0:34,지역을 넓히면 원화도 한국 지역 화폐입니다. 지역 화폐만 사용되는 것이 아니라서 지역 경제가 더 활성화 된다는 보장이 없고 오히려 국가 전체로 보면 통화 유통 속도가 떨어져 더 손해입니다. EU국가들이 왜 자국 통화를 버리고 유로화로 통합했는지 생각해보면 답 나옴. 보고서 내용은 당연한 결과입니다.,549,24
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",5,2020.9.16 0:34,한국처럼 국토도 좁고 사는 지역도 한정되고 교통이 잘 발달한 지역에 지역화폐는 웃기는 소리지. 현금깡해줄라고 지자체장들이 수는 수법이 먼 지역경제활성화야?,299,19
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",6,2020.9.16 0:34,재난지원금을 100번 지급해도 된다느니 대출 손실을 국가가 갚아주자느니 거시경제학 원론만 공부해도 엉터리란걸 알수 있는 헛소리만 하시는 분이 경제 전문가들의 근거있는 비판에 분노하시는 모습이 정말 안타깝네요.. 타 정치인들과는 다른 행동력은 높이 사지만 그 행동력으로 나라를 더욱 빠른 속도로 망칠까봐 심히 우려되네요.,126,3
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",7,2020.9.16 0:34,이재명 이거 그래도 쪼매는 괜찮게 봐줄려고 했더니 안되겠네...지가 하는일에 조그마한 부정적인 반응만 보여도 발끈하는걸보니 큰인물은 절대 안되겠다..니가 하는일은 무조건 다 옳은거가? 정부기관이건 민간기관이건 니가 세운 정책에 비판을 할수도 있는거지...더군다나 정부기관에서 공적으로 내놓은 보고서를 그딴식으로 폄훼하고 니 주장만 하는걸 보니 너도 역시 인물은 못되는구나..역시 그나물에 그밥.........,102,6
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",8,2020.9.16 0:34,"그래도 정치인 보다는 경제연구기관이 더 전문성이 있어 보이는데.. 이사람도 본인을 비판하는 건 한치도 용납 못하는 사람이군. 본인의 생각이 완벽하고 반대하는 사람은 무조건 잘못됐다는, 한마디로 막힌 사람.",77,5
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",9,2020.9.16 0:34,이재명은 문재인 매운맛 버전이라니까. 무능하기는 둘다 존똑인데 똥고집으로 사람 갈구는 건 이재명이 더 심하지. 문재인은 멍청하고.,48,3
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",10,2020.9.16 0:34,모르긴 해도 최소한 저 보고서는 기본적인 보고서의 틀은 갖추었을 거 아니냐? 근데 이재명은 sns에 몇 줄 적는 걸로 저걸 반박하려고 하네... ㅋㅋ,48,3
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",11,2020.9.16 0:34,딱 봐도 이런사람 대통령되면 더 나라 망함~ 제인이가 그냥 커피라면 재명이는 T.O.P양~,36,4
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",12,2020.9.16 0:34,경제 연구원들보다 당신이 경제를 더 잘 안다는 얘긴가? 얼빠진 소리하네. 정부 정책이 알못되었어도 지적할수 있어야 경제연구소지 정책대로 연구결과 내보는게 경제연구손가? 지역화폐 처음부터 정치인들 사탕발림 소리인거 모르는 국민들이 있나? 지역경제 살린다고 그 지역만 지역화폐 만들어서 혜택주면 다른 지역은 가만히 있나? 모든 지역에 지역화폐 생겼는데 그럼 결론은 세금만 나가는 거라는거 모르는 사람 있나?,33,3
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",13,2020.9.16 0:34,시붤 지 마음에 안드는 보고서 내면 얼빠진 국책기관이야?니보다 그분야에 훨씬 박식한 전문가들이 얘기하면 겸허하게 받아들이고 다시 생각해봐야지.와 진짜 오만하고 오만하네,30,1
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",14,2020.9.16 0:34,이 정부 사람들 공통점은 전문가의 비판도 국민의 비판도 무조건 부정한다. 대단하다.,29,1
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",15,2020.9.16 0:34,무식한데 신념까지 있는게 가장 무서운 거라더라 게다가 그사람이 대권주자라니 정말 무섭다,28,3
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",16,2020.9.16 0:34,국책연구기관 보고서가 지 입에 안 맞는다고 엄중문책하라는 게 과연 제 정신인거냐? 저거 대통령 되면 연산군 빰치게 생겼네... 지 맘에 안드는 상소문 올렸다고 사약 내리고 목아지 따는 거랑 머가 다르냐?,21,0
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",17,2020.9.16 0:34,이재명이 지역화폐타령하는건 이재명이 몸담고있는 성남국제마피아 주업이 지역화폐깡 이자나. 그것이 알고싶다에서 이재명과 국제마피아의 관계 2탄보도하려다 PD교체되었어. 그알이 거짓말하겠냐. 점마 오른팔 은수미 관리해준게 성남국제마피아였다. 점마 정책을 봐라 초등학생도 하지않는 마구잡이 퍼주기에 전부 지역화폐타령뿐임.,21,2
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",18,2020.9.16 0:34,"이래서 이재명은 안되는거야. 자신에 대한 객관적이고 합리적인 바판을 수용하지 못하는 속이 좁은 사람이거든요,",20,3
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",19,2020.9.16 0:34,세상에 모든 정책은 순기능과 역기능이 있습니다. 순기능이라고 하면 이재명 지사가 언급한 점이겠고 역기능이라고 하면 조세연이 발표한 자료겠죠. 이런 역기능도 있구나 하고 참고하면 될 일이지 그걸 갖고 얼빠졌다 느니 문책해야 한다 느니 하는 점은 아니라고 봅니다. 보면 볼수록 이재명 지사는 너무 과격합니다. 누가 본인 정책을 비판하면 죽일 듯이 달겨드는 모습을 본게 한두번이 아닙니다. 기본소득 기본대출 기본주택 등등,16,0
"지역화폐 역효과 보고서에…이재명 ""얼빠진 국책연구기관""",20,2020.9.16 0:34,엄중문책?? 말투가 벌써부터 대통령 포스네~ 문재인은 나라를 말아 먹었지만 이재명은 대권을 위해서라면 나라도 팔아 먹을 인간이다~,16,1
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,1,2020.9.16 0:34,국회의원 세비 삭감할맘은 없냐 일 안하고 그만큼 받았으면 국민들 힘들때 쫌 내라 도둑넘들아,294,1
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,2,2020.9.16 0:34,하나도 안고맙다~ 혈세낭비 ㅈㄴ아깝다,180,8
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,3,2020.9.16 0:34,체감도 어려운 푼돈으로 생색만 내고 나라빚은 목돈으로 쌓여만가고...왜 이렇게 국민 대다수가 싫어하는 일을 했는지와 또 샛길로 해쳐먹는 놈들은 후에 조사하면 다 나올것이다.,108,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,4,2020.9.16 0:34,전국민 재난지원금 주기싫으니까 통신비 2만원으로 재난지원금 지급한거처럼 하려하는 약은 식히들! 정작 취약 사각지대 사람들은 지원대상에서 제외되는 사람들 많이 나올것이다. 이런 한심한것들이 억대연봉 챙기는 공직자라니! 기가막혀서 한숨도 안나온다.,82,6
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,5,2020.9.16 0:34,통신사와 짜고 치는 고스톱인가? 안 받겠다고 하는데 궂이 주려하는 ....갑갑하고마이~,67,2
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,6,2020.9.16 0:34,통신비 말고 전국민 독감 예방주사 무료접종 가자.,36,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,7,2020.9.16 0:34,통신비 2만원 무슨 의미 있나요.코로나19인지 독감이지 확인이 어려우니 독감 예방주사 꼭 접종하라고 하더니 차라리 그돈으로 성인들 독감 예배접종비 지원이나 하지 쯧쯧...,17,1
