,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
12,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",13,2020-09-21 23:45,브라운대 물리학과 출신이라면 진짜 실력으로 거기 들어간 건데... 보통 평범한 재벌 자식 같았으면 하버드 경영이나 펜스테이트 경영 갔을 텐데. 집안이 머리가 좋긴 한가보다. 제발 주변도 챙기며 곱게 성장하길.,198,4
13,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",14,2020-09-21 23:45,자녀들은 제대로 교육을 시켰네. 어머니를 닮았네요. x항공사와 대조적이네.,177,5
14,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",15,2020-09-21 23:45,애들은 사고한번 안치고 반듯하게 잘키운듯 노소영이가 키웠겠지만~~,153,4
15,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",16,2020-09-21 23:45,노소영씨가 잘 키웠습니다. 총명하게 생겼네요. 좋은 DNA를 가졌으니 어긋나지 않고 열심히 경영을 배워서 아버지보다 훌륭한 기업가가 되기 바랍니다. 열심히 지켜 볼 겁니다. 화이팅!!!!!,129,3
16,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",17,2020-09-21 23:45,어머니 닮아 재계에서 입지적 인물로 성장하세요~~! 화이팅!!,123,5
17,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",18,2020-09-21 23:45,너는 못난 애비를 닮지 말거라.,112,5
18,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",19,2020-09-21 23:45,애들 학벌이 다 좋구나ㅡㅡㅡㅡㅡㅡㅡㅡ엄마가 똑똑해서 그런가보디ㅡ,107,3
19,"[단독] 최태원 회장 장남, SK E&S 신입사원으로 입사21일 재계에 따르면, 최태원 SK그룹 회장의 장남 인근(25)씨가 최근 SK그룹의 에너지 계열사인 SK E&S 전략기획팀에 신입…",20,2020-09-21 23:45,이 집안은 최태원회장만 비정상인 듯,91,2
20,"SK 최태원 장남, SK E&S 신입사원 입사",1,2020-09-21 23:45,마약을 즐기는놈,171,28
21,"SK 최태원 장남, SK E&S 신입사원 입사",2,2020-09-21 23:45,이게 왜 뉴스거리냐 ? 당연히 흙수저는 상상도 못할 초고속 승진 할껀데ᆢ,126,9
