,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",1,2020-09-17 00:05,이 정권은 입만 열면 뻥과 오리발이네 국민을 너무 우습게 보네,2885,20
1,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",2,2020-09-17 00:05,"믿을 걸 믿으시오. 입만 열면 정의 공정을 찾지만 어디 그들에게 손톱만큼의 정의와 공정이 있기나 합니까? 조국 윤미향 손혜원 유재수 송철호 김경수 박원순 등이 관련된 사안을 살펴봅시다. 언제나 국민통합과 화합보다는 갈라치기로, 진실된 방법보디는 교묘한 네이밍 작업으로 오직 정권유지에만 열을 올리는 파렴치한 집단이 바로 민주당과 문재인 정권입니다.",953,5
2,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",3,2020-09-17 00:05,믿을 애를 믿어라. 문뻥. 단군이래 최악질 국가 파괴범.,581,9
3,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",4,2020-09-17 00:05,세금은 철저하게 뜯어가고 나머지는 이벤트일뿐. 지나면 아무도 챙기지 않지,343,2
4,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",5,2020-09-17 00:05,뻥쟁이 문씨.,155,3
5,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",6,2020-09-17 00:05,"문재인 대선 공약 첫번째가 반값 등록금이였는데, 임기 3년동안 단, 1번의 언급 조차 없다. 사기꾼임!",62,0
6,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",7,2020-09-17 00:05,"북한에는 수천억원 몰래 지원해도 국군에게는 수백억 이자도 아끼려는 좌파정권 ,,,, 그런데 참모총장이 추미애 감싸려고 카톡으로도 휴가 연장 가능하다고 하잖아? 이게 나라냐?",46,1
7,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",8,2020-09-17 00:05,정책을 발표할때는 여러가지 경우의 수를 충분히 살핀다음에 발표해라. 국민전체에게 통신비2만원을 준다고 할때도 뜨악!! 그냥 마스크값준다 거나 현금주지~ 공공의대만들어 의사4000명 증원발표도 뜨악!!! 의사가 넘치는데 잘 활용하면되지~ 독감백신 전국민이 맞아야한고 할때도 뜨악!! 백신량이 부족할텐데~세입자 4년보장권발표때도 뜨악!!! 이사 안다니면 서민경제에 악영향일텐대~ 뜨악정부다!!,42,5
8,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",9,2020-09-17 00:05,세상 모든게 ... 애비찬스 ....애미 찬스...국민 편 가르기....육군..카츄사 ..편가르기 ...국국장병 사기저하......하다 하다..국군장병 금리 까지 사기치네 ....담에 또 뭐가 나올까?,30,1
9,"[단독] 66만명에 뒤통수… 정부, 6% 이자 장병적금 약속 깼…현역 군인 박모(22)씨는 지난 8월 휴가를 나와 한 시중은행을 찾았다. 연 6% 이자를 준다고 알려진 ‘장병내일준비적금’에 가…",10,2020-09-17 00:05,하다하다 나라 위해 봉사한 군인들 상대로 사기까지 치네.,25,0
