,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",1,2020-09-24 17:04,문재앙정부 하는짓은 꺼꾸로만하면 돈 번다...,224,58
1,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",2,2020-09-24 17:04,한국 뉴딜 정책 결과는 쓸대없이 발표만 하고 개미 몰리게 한 후 관련주 폭락,98,2
2,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",3,2020-09-24 17:04,왠 말이냐???????? 기자 국어 수준이 의심스럽네 ㅋㅋㅋ,51,3
3,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",4,2020-09-24 17:04,뉴딜펀드 최악의 금융사기가 되지않을지. 좌파들 크게 서민들 등에 칼꼽고 챙겨먹으려는 수작,48,7
4,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",5,2020-09-24 17:04,Lg뉴딜 해놓고 분사 정말 최악이다,29,2
5,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",6,2020-09-24 17:04,대가리 써서 만든 뉴딜펀드는 시작부터 망했네 ㅊㅊㅊ 어떻게 손대는 것 모두가 실패하고 망하냐 이것도 능력이다 진짜,12,0
6,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",7,2020-09-24 17:04,삼성을 무시하네..ㅋㅋㅋ 내년 가면...LG폭망....짱개에 손빌린 LG 조심해라...ㅉㅉㅉ,12,7
7,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",8,2020-09-24 17:04,그냥 개관들 개미 신용털어먹으려 덤비는거지.,4,0
8,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",9,2020-09-24 17:04,"문재인이 강하게 추진하는 모든것들은 망하는군요......부동산, 남북경협 , 뉴딜등 수도 없이 벌려놓고 제대로 하는건 하나도 없고......엄청난 능력이다.......",5,2
9,"""테슬라 반값 배터리가 왠말이냐""…바닥 뚫린 한국 부품株장중 포스코케미칼 8%, 천보 10% 등 주가 `뚝` 일각선 ""뉴딜펀드 핵심인 만큼 여전히 매력적"" 국내증시가 장중 하락세를 보이…",10,2020-09-24 17:04,테슬라의 현재 최선은 늘 그랫 듯이 언플로 배터리 가격 좀 조지고 싸게 공급 받겠다는거지 솔직 테슬라 언플 말고 뭐 제대로 나온거 있나? 매년 적자에 허덕이며 언플로 연명하고 있는데,3,0
