,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,1,2020-09-23 12:03,"직원들한테 먼저 좀 알려주세요. 트윈 근무하는 사람들이 인터넷 기사로 처음 접하는게 말이 됩니까..,",458,7
1,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,2,2020-09-23 12:03,뭘자꾸 어디발 집단감염이래 그냥 발원지는 우한이고 정부방역이 실패한거지 자꾸 어디탓 어디탓ㅉㅉ그래놓고 모범방역이라고 미화하고 앉아있는 꼬락서니 하고는‥,452,128
2,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,3,2020-09-23 12:03,직원들 제때 재택근무 안시키고 일만 노예처럼 시켰으니 당연한 수순인것 같다,166,31
3,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,4,2020-09-23 12:03,재택 시늉만 하고 실제로 잘 안지켜짐. 지금 이 아사리 판에도 회사에 남아 일하는 팀도 있음. 재택도 '필수인원' 이르는 이름 아래 팀장 및 파트장은 나오라는 이상한 회사,87,6
4,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,5,2020-09-23 12:03,ㅋㅋㅋㅋㅋ빌딩안에서 마스크안쓰는 아재들이 얼마나많은데 당연히 집단감염 생기지...ㅋㅋㅋㅋㅋㅋㅋㅋ,75,8
5,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,6,2020-09-23 12:03,별 시덥잖은 자가진단은 매일 하라고 메신져로 알람 하는 체계를 갖추고도 같은건물 확진자 나와도 공지도 없는 븅삼같은 회사...... 재택근무 하라면서 필요인원 혹시나하는 인원 다 남겨두고 재택 50%라고 기사에 나오는 회사. 오늘은 긴급 재택하라더니 컴퓨터 가지러 왔는데 집 가지말고 그냥 있으라는 곳. 진짜 다른 대기업과 너무 비교됨.,41,2
6,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,7,2020-09-23 12:03,엘지는 속과 겉이 다른회사 입니다,32,5
7,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,8,2020-09-23 12:03,"사실상 LG트윈타워 임직원 전부가 코로나 위험군인데, 건물 폐쇄는 커녕, 전사 공지도 없습니다. 이런 안일한 대처로 피해는 결국 임직원에게만 떠미는 상황이네요.",19,2
8,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,9,2020-09-23 12:03,임원들은 굴뚝 사업 마인드라 재택 근무 되게 싫어함. 아랫사람 갈구면서 보고만받길 좋아하거든. 보고받아도 나중에 독박쓰기 싫어 중요한 결정은 안함.,12,0
9,[단독] LG 트윈타워서 확진자 5명으로 늘어...집단감염 우…[서울경제] LG(003550) 그룹 주요 계열사가 모여있는 여의도 트윈타워에서 신종 코로나 바이러스 감염증(코로나19) 확진자가…,10,2020-09-23 12:03,예상된 일이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 이래도 절대 정신못차린다 엘지 재택하지도 않으면서 언플하지마라,11,1
