,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",1,2020-09-29 21:30,제발 합리적으로 장기투자를 유도해야지 3억이 대주주라니...대주주면 거대 저택정도는 있어야 되는거 아니냐? 생각 없이 정책 만들지 말고 고민좀하자. 지금 증시로 돈일 들어와 기업이 살아야 하는데 돈을 시장 밖으로 내쫓고 있냐? 그럼 돈으로 뭐할 껀데? 종이 비행기 만들꺼냐?,1508,29
1,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",2,2020-09-29 21:30,ㅉㅉ 여기가 공산국가여? 주식 연좌제? ㅉㅉ,577,20
2,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",3,2020-09-29 21:30,이거 최초 기안한 공무원 도데체 정신이 있는 사람인가요? 이거 도데체 누가 했나요 누가 초딩도 이런짓은 안합니다.,546,46
3,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",4,2020-09-29 21:30,"(3억원을 대주주로 만들어 전국민을 모두 대주주로 만들어 놓았다 - 문재인 정부는 전국민을 대주주로 만들어 놓고 세금 뜯기에 혈안이다) 연말에 3억원이하로 만들어 놓으면 아무 쓸모도 없다. 연말에 대주주가 되지 않기 위해 매물폭탄이 쏟아져 주식시장을 대혼란으로 만든다(주식시장만 대혼란으로 만들고, 어수룩하고 정보에 어두운 사람에게만 뒤집어 씌우는 이런 3억 대주주제도를 버젓이 운영하는 문재인 정부는 정말 나쁜 정부이다. 국민을 괴롭히기만 하는 이런 엉터리 적폐제도는 빨리 폐지되어야 한다)",479,42
4,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",5,2020-09-29 21:30,기재부.다잘라라!며가지,114,9
5,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",6,2020-09-29 21:30,"민주당 찍었었는데, 이제 다시는 안찍는다",88,1
6,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",7,2020-09-29 21:30,자동차 주택 같은거는 세금 이해된다 근데 주식은 오롯이 내돈 내서 내가 먹는데 세금이 웬말?? 주식 손실나면 나라에서 보전해주남??,80,1
7,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",8,2020-09-29 21:30,삼성전자 현대차 시총이 300조가 넘는다. 근데 3억이 대주주? 제정신이냐? 기존의 10억도 너무 창피하다구! 40년전 압구정 현대 평당 55만원 할때 만든 기준을 평당 1억으로 오를 때까지 안 바꾸는 것도 비웃음살일인데!! 그걸 3억으로 줄여? 악날한 좌파정권!! 세금 뜯어가려구 혈안이 되었구나 . 국민한테 혈세 뜯어서 북한 철도 놔 주게? 뒤돌아보니 이명박 박근혜때가 태평성대였다. 집값싸 세금싸 전세싸! 그땐 몰랐다 미안하다,73,1
8,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",9,2020-09-29 21:30,개인 10억도 사실 어이없지만 가족합산 3억을 대주주로 잡는건 문재인만 가능한 생각이다 치매걸려 뇌가 없음,62,3
9,"할아버지·며느리까지 주식 합산…논란많은 대주주 요건 손…주식 양도세 기준 재검토 착수 與서도 ""혼란 불보듯"" 제동 가족 포함에 ""연좌제냐"" 불만 대주주 기준금액 10억 → 3억 정부 …",10,2020-09-29 21:30,"문정권은 다 못하지만 진짜 경제는 아주 개판을 만듦. 앞으로 민주자 들어간 정당, 파란색 들고나온 정당은 죽어도 안찍는다 ㅋㅋㅋ 왜 광화문 나가 촛불 들었는지 진짜 내자신이 부끄럽다",60,2
