,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",1,2020-09-15 00:00,게임 재미없어 안함 주가 이해 안감 확 빠질듯,262,25
1,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",2,2020-09-15 00:00,PC방 음식판매금지 왜하는거죠마스크 벗으면 기 전염될까봐 그럼 식당에선 밥 어떻게 먹습니까 다른건 다 알겠는데 이건 정말 답답합니다,223,20
2,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",3,2020-09-15 00:00,니 주식 팔아서 도와주삼,128,31
3,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",4,2020-09-15 00:00,바글바글한 카페가 더 위험해 보임,89,8
4,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",5,2020-09-15 00:00,응원 감사합니다...ㅠㅠ ...방역에 희생된.피시카페 사장님들 힘냅시다...ㅠ 20년전 이미지를 아직도 기억하는 사람들에게 인식.전환의 기회가ㅡ되어 봅시다.ㅡ피시방 어두컴컴한 소굴 아닙니다. 카페보다 쾌적하고ㅜ인테리어가 프랜차이즈커피점 보다 좋아요,64,18
5,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",6,2020-09-15 00:00,"훌륭하십니다감사합니다글을보니 힘이 좀 나네요.. 물도 안된다고 하더니 물, 음료는 된다고 결론이 났는데음식점엔 칸막이 설치하라면서 이미 칸막이 설치되어있는 pc방은 왜 음식판매가 안될까요?음식점은 한테이블에 같이온 일행이 앉아서 밥을먹는데Pc방은 왜 같이 들어온 일행도 한칸 띄어앉기를 해야하며 왜 음식은 팔지도 먹지도 못하게 하는건가요?코로나가 위험한건 충분히 잘 알겠으나 형평성에 어긋나고 부당하단 생각은 영업정지때부터 달라질게없네요",45,2
6,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",7,2020-09-15 00:00,"식당과 카페에 비하면 pc방에 대한 조치는 너무 부당하다 . 카페랑 식당에서 옆에 붙어앉아있다가 pc방 어면 띄어앉아야하고 ,pc방에서 음식 못 팔게하면 게임하다 나가서 식당가서 밥먹고 ,게임하다 카페갔다 오고 혹시나 확진자 생긴다면 동선만 더 넓어질뿐이다 pc방은 누가 몇시에 몇명 왔다갔는지 확실한데 학생금지.띄워앉기.음식판매금지 흡연실 금지는 문열고 장사하지 말하는 것과 마찬가지다.",37,1
7,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",8,2020-09-15 00:00,소싱공인 마음을 일아주셔서 감사합니다.욕을 하고 비판하는 사람은 월급 받는 직장인일껍니다 내주변에서 내 지인이 내 가족이 소상공인이거 PC방을 한다고 생각해 보세요 욕을하고 비판할수잇는지목숨 입니다 빛 몇천에 몇억에 자살하는 사람 수두룩입니다 모든걸 걸고 투자한 내매장입니다,22,1
8,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",9,2020-09-15 00:00,있는 자 성공한 자가 한때 자신의 과거를 기억하고 어려움에 처한 그들을 위해 한 목소리를 내는 것 ㆍ 긍정적이다 ㆍ 어려운 시기에 PC방하는 자영업 사장님들 힘내세요 코로나가 얼른 떠나길 기원합니다,19,2
9,"PC방 발로 뛴 카카오게임즈 대표의 호소 ""PC방 음식 팔아…신종 코로나바이러스 감염증(코로나19) 확산에 PC방 업계가 직격타를 맞은 상황에서 카카오게임즈의 남궁훈 대표가 방역 당…",10,2020-09-15 00:00,돕는다는데 거 참 말 많네..개개인들 방역도 제대로 해라!피씨방도 나름 신경쓰고 있다는걸 어필하는건데..왜 다들 딴지걸고 난리인지..주식팔아 도우라는건 무슨 불우이웃 성금내는것도 아니고..생각 좀 하자~!! 생각 좀~!!,13,1
