,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",1,2020-09-28 15:27,아미에서 니미되는거 주식에선 한순간..,553,20
1,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",2,2020-09-28 15:27,주가 부풀리기....이런 기사 믿는 사람 바보...군대 가거나 그룹 해체되면 빅히트 주가 어떻게 될려나????,106,9
2,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",3,2020-09-28 15:27,잘했다 국민전체가 노름판의로 몰아서 세그 팍팍 거들라고 하는구나 카지노 경마 모든게중지되니까 세금거둘때는 주식밖에없다 허나 폭망 개박살날거다 개미들이 큰일이구나 한강은 가지말고 넥타이메지마라,44,8
3,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",4,2020-09-28 15:27,"100조 안몰리면 기자 너는 책임지고 손가락을 걸어라, 투기를 부채질 하는 나쁜 사람아",33,6
4,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",5,2020-09-28 15:27,따상가면 30만원이네..이게 말이되나. YG.Sm.jyp 합친것보다 높다. 미친거지,40,19
5,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",6,2020-09-28 15:27,상장하고 며칠뒤에 폭포수 맞고 욕할 사람들 많을것 같네 ㅋㅋ,9,0
6,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",7,2020-09-28 15:27,방탄소년단중 하나만 까딱 실수하면서 주식 폐지감인데,7,0
7,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",8,2020-09-28 15:27,그런 가치가 있을까...가수 인기야 1년만 지나도 망각이고...비틀즈처럼 작곡하는 것도아니고 스웨덴에서 노래 사서 노래만 부르는거고...있는거는 기획력인데 백프로 성공한다는 보장도 없고,6,0
8,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",9,2020-09-28 15:27,거품의 끝판왕,6,0
9,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",10,2020-09-28 15:27,매출이나 순익을 근거로 시총이 적정한지 판단하긴 해야합니다. 하지만 모바일 앱으로 전셰로 뻗어 나가는 확장성 때문에 쉽사리 거품이다라고 단정지을순 없다는거죠. 주식 급하게 할 필요 없습니다. 워렌 버핏도 16년도가 돼서야 애플 주식 샀습니다. 빅히트도 충분히 매출과 순이익이 검증되고 난 뒤 들어가도 충분합니다. 요즘 다들 마음이 너무 급한 분들이 많은 것 같습니다.,6,1
10,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",11,2020-09-28 15:27,사면바보됨,5,0
11,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",12,2020-09-28 15:27,왜 주식배정을 기관투자자들한테 왕창 줄까요??? 그래 돈 빼먹고 개미들 가꼬 노는건가??? 기관 일반 똑같이 청약해야지 왜 기관은 따로 하는지?? 너무하는거 아니냐??,3,0
12,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",13,2020-09-28 15:27,그래도 한국멤버는 군대는 가야...,3,1
13,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",14,2020-09-28 15:27,거품을 만들어 돈 벌겠다고 난리치네. 언론이 더 나쁘다. 이런 거품주는 결국 오래 못가서 조정시에 폭락하여 제 가격을 찾아갈 것이고 손해는 고스라니 개미 몫이다. 아이돌 연예계 특성이 짧은 인기 바람인데 테마주 이상 의미가 있나?,3,1
14,"강남 부자부터 '아미'까지…이 주식 사겠다고 '100조' 몰린…SK바이오팜, 카카오게임즈로 시작된 대형 공모주에 대한 관심이 빅히트엔터테인먼트로 쏠리고 있다. 일반 공모주 청약이 일…",15,2020-09-28 15:27,거품,2,0
