,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
0,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",1,2020-09-18 17:21,이나라 진짜 웃긴다... 지들이 유리할 땐 시민단체 아줌마도 방사능 전문가랍시고 인터뷰하고 정치적으로 이용해 먹으면서 공인된 기관의 연구원들이 자료를 토대로 발표를 해도 자기들이 원하는 결과가 아니면 적폐란다.. 대단해... 대깨문 시민단체 고졸출신 아줌마가 석박사들보다 인정 받는 세상... 정지적으로 같은편이면 맘충도 전문가되는 세상.. 이게 좌파들의 사상이다.. 더러운 놈들...,1277,14
1,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",2,2020-09-18 17:21,세금을 필요한곳에 쓰겠냐? 백퍼센트 표되는곳에 쓴다.. 그러니 돈준다는 정치인 때문에 망한 나라가 많은거임 자유와 동기를 주는 나라가 훨씬 발전한다 역사를 조금만 알아도 이건 절대진리임,278,3
2,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",3,2020-09-18 17:21,대응할 생각 없다. 연구기관은 연구로 말하는 것이다. 멋지구먼!,268,5
3,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",4,2020-09-18 17:21,학자들.언론.검찰.모두다 독립적으로 자기할일에 충실하면 되는거아닌가?자기의견 말하면 안되는 세상이 오는건가요??,162,7
4,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",5,2020-09-18 17:21,"맘에 안들면 적폐. 무조건 라인 잡아야 살아남는다. 북한에서도 ""그 누군가"" 에게는 천국이잖아? 인생들 선택 잘하세요. 찍히면 적폐되고 대가리 깨집니다.",134,6
5,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",6,2020-09-18 17:21,이재명씨.. 본인이 무조건 정의요?? 대체 지역화폐를 고집하는 이유가 뭐요?? 비자금 조성 목적아닌가요?? 여야를 떠나 지역화폐에 목 매다는 인간들 다 캐봐라.. 어디에 연결 돼 있는지.. 버젓이 온누리 상품권이 있는데 지역 화폐를 또 만들어 사용하면 지역 상권이 산다고?? 지역화폐 할인률에 들어가는 세비는?? 또 사용기간 지나서 없어지는 상품권들이 투명하게 관리가 되나?? 결국 지역화폐 핑계로 비자금 조성해도 걸릴 확률이 거의 없으니 지역화폐에 목 매다는 거 아닙니까??,55,1
6,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",7,2020-09-18 17:21,이번 일을 보면 이재명의 한계와 약점이 적나라하게 드러났다고 봅니다.폭력적성격 타인과의 협업을 모르는 무모함.얕은 지식으로 복잡계를 판단하는 경솔함.그저 도백 정도에 화제성을 몰고다니는 정치인.계곡 돌려주기 같은 것만 하면 되는 수준이재명 지사를 비방하는게 아니라 대권 주자인 이지사를 보는 제 평가입니다,38,3
7,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",8,2020-09-18 17:21,조세연이 적폐라........그러면 조세연 원장이 문재인 조세정책 핵심 브레인인데 적폐라하면 ?..........재명아 진중권이 너보러 똥볼찬다하니 열받았구나 푸하하하 ...너의 과감한 추진력에 나도 살짝 속을뻔했어,19,1
8,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",9,2020-09-18 17:21,본인 마음에 안들면 적폐라고 몰아붙이고 언론화 시키는건... 트럼프와 유사하군요! 토론을 위한 기본 자세가 안되어 있습니다.,14,2
9,"[단독] '적폐' 내몰린 조세연 원장 ""연구 내용, 아무 문제 …국책연구기관 조세재정연구원이 내놓은 '지역화폐의 도입이 지역경제에 미친 영향' 보고서가 촉발한 논란이 일파만파로 커지…",10,2020-09-18 17:21,더듬어 문란당 지지자 세력들은 이성 자체를 잃은듯 하다 내용 자체에 대해 객관적 판단 할 생각 없이 무조건 니편내편만 가르고 내편 아니다 싶은 내용 있다싶으면 무조건 물어뜯고 본다,13,1
